RespondentID,CollectorID,StartDate,EndDate,IP Address,Email Address,First Name,LastName,Custom Data,What is your role at your institution? - Open-Ended Response,How often do you use the  software?,How frequently do you use 's software to do the following? - Enter/maintain contacts made with Persons,How frequently do you use 's software to do the following? - Identify and proactively intervene with at-risk Persons,How frequently do you use 's software to do the following? - Track Person cohorts over time,"How frequently do you use 's software to do the following? - Produce reports on Person persistence, graduation, etc.",How frequently do you use 's software to do the following? - View enrollment data,How frequently do you use 's software to do the following? - Examine course-level outcomes,How frequently do you use 's software to do the following? - Review data in dashboards and/or strategic scorecards,"How frequently do you use 's software to do the following? - Assess Person progression through, completion of developmental/remedial program coursework","Are there other ways you use the  software not mentioned above? If so, please share those here. - Open-Ended Response","Are there ways you would like to use the  software that you do not/can not currently? If so, please share those here. - Open-Ended Response",What could  do to increase the number of individuals who regularly use the software at your institution? (Please rank each option from 1 - most helpful to 4 - least helpful) - Offer additional training,"What could  do to increase the number of individuals who regularly use the software at your institution? (Please rank each option from 1 - most helpful to 4 - least helpful) - Provide more documentation (user guides, tutorials, videos, etc.)","What could  do to increase the number of individuals who regularly use the software at your institution? (Please rank each option from 1 - most helpful to 4 - least helpful) - Deliver a set of standard research reports ""out of the box""","What could  do to increase the number of individuals who regularly use the software at your institution? (Please rank each option from 1 - most helpful to 4 - least helpful) - Organize the software into smaller, thematic components (enrollment, course completion, graduation)",What could  do to increase the number of individuals who regularly use the software at your institution? (Please rank each option from 1 - most helpful to 4 - least helpful) - Other (please specify),When was the last time you contacted  for support?,When was the last time you contacted  for support? - Please share the nature of your request for support here.,How satisfied are you with the level of customer support  provides your institution?,How satisfied are you with the level of customer support  provides your institution? - Please tell us more about your level of satisfaction with  customer support.,"When you contact , how likely are you to: - receive a timely response?","When you contact , how likely are you to: - receive feedback you can understand?","When you contact , how likely are you to: - interact with competent personnel?","When you contact , how likely are you to: - Please tell us more about your contact with .", services are completed within an acceptable timeframe. , services are completed within an acceptable timeframe.  - Why did you make this selection?,Which of the following would you like to see  offer customers?  (Check all that apply) - Sending confirmation that your email or question has been received and will be reviewed,Which of the following would you like to see  offer customers?  (Check all that apply) - Offering more methods of contacting support personnel,Which of the following would you like to see  offer customers?  (Check all that apply) - Creating a software knowledge-base,Which of the following would you like to see  offer customers?  (Check all that apply) - Providing online software demos,Which of the following would you like to see  offer customers?  (Check all that apply) - Other (please specify),Which of the following would you like to see  offer customers?  (Check all that apply) - Other (please specify),"Within the past year, have you participated in software training provided by ?",The software training provided by : - prepared me to use the product.,The software training provided by : - was conducted in a timely manner.,The software training provided by : - was a valuable use of my time.,The software training provided by : - Please share any additional comments about training in the box below.,The slides and materials presented during the software training were a helpful addition to my understanding of the product. ,The slides and materials presented during the software training were a helpful addition to my understanding of the product.  - Please tell us more about the information presented during software training.,How likely are you to recommend  to someone else?,How likely are you to recommend  to someone else? - Please tell us more about why you would or would not recommend .,"Based on your experience with , what are we doing well? What could we do to improve? - Open-Ended Response","We are currently looking for stories of how companys are successfully using the  software. If you are interested in sharing your story, please provide your contact information below. - Name:","We are currently looking for stories of how companys are successfully using the  software. If you are interested in sharing your story, please provide your contact information below. - company:","We are currently looking for stories of how companys are successfully using the  software. If you are interested in sharing your story, please provide your contact information below. - e-mail:","We are currently looking for stories of how companys are successfully using the  software. If you are interested in sharing your story, please provide your contact information below. - Phone:"
2803462170,44341820,9/10/2013 14:40,9/10/2013 14:41,213.135.28.202,Kathryn.Kemp@email.com,Kathryn,Kemp,,Test5,A few times a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803458958,44341820,9/10/2013 14:38,9/10/2013 14:41,213.135.28.203,Juli.Willis@email.com,Juli,Willis,,Test6,One or more times per week,Never,Never,Sometimes,Often,Often,Sometimes,Never,Sometimes,,,1 Most Helpful,3,2,4 Least Helpful,,Never,,,,,,,,,,,,,,,,Yes,Agree,Agree,Agree,,Agree,,Neither Likely nor Unlikely,,,,,,
2803422402,44341820,9/10/2013 14:22,9/10/2013 14:23,213.135.28.204,Zack.Birkholz@email.com,Zack,Birkholz,,Test2,One or more times per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803413287,44341820,9/10/2013 14:16,9/10/2013 14:21,213.135.28.205,Kathleen.Quivers@email.com,Kathleen,Quivers,,Test3,One or more times per month,Rarely,Often,Often,Often,Often,Sometimes,Sometimes,Rarely,,,1 Most Helpful,1 Most Helpful,1 Most Helpful,1 Most Helpful,,Never,,,,,,,,,,,,,,,,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Strongly Disagree,,Very Unlikely,,,,,,
2803407857,44341820,9/10/2013 14:16,9/10/2013 14:35,213.135.28.206,Mark.Gilman@email.com,Mark,Gilman,,Test4,One or more times per week,Sometimes,,Often,,Often,,,,,,1 Most Helpful,1 Most Helpful,1 Most Helpful,1 Most Helpful,,Never,,,,,,,,,,,,,,,,Yes,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,,Very Likely,,,,,,
2803406656,44341820,9/10/2013 14:16,9/10/2013 14:19,213.135.28.207,Charles.Miller@email.com,Charles,Miller,,Test5,One or more times per week,NA,NA,Sometimes,Sometimes,Often,NA,NA,NA,,,3,1 Most Helpful,2,4 Least Helpful,,Within the last week,ongoing Data Quality phase of project,Very Satisfied,,Very Likely,Very Likely,Very Likely,,Agree,,,,Creating a software knowledge-base,Providing online software demos,,,Yes,Agree,Agree,Agree,,N/A,,Very Likely,,,,,,
2803403622,44341820,9/10/2013 14:14,9/10/2013 14:15,213.135.28.208,Mary.Townsend@email.com,Mary,Townsend,,Test6,One or more times per week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803397526,44341820,9/10/2013 14:12,9/10/2013 14:12,213.135.28.209,Melvin.Brasher@email.com,Melvin,Brasher,,data1,I do not use the  software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803396762,44341820,9/10/2013 14:11,9/10/2013 14:16,213.135.28.210,Maureen.Staton@email.com,Maureen,Staton,,Test7,One or more times per week,Rarely,Rarely,,Often,Often,Often,,Never,monitor completion of company Orientation and Person satisfaction,,2,1 Most Helpful,2,2,,Never,,,,,,,,,,,,,,,,No,,,,,,,Likely,,Product is easy to use and the downloads are easy to access.,,,,
2803396144,44341820,9/10/2013 14:11,9/10/2013 14:23,213.135.28.211,Lydia.Nieto@email.com,Lydia,Nieto,,Test8,One or more times per day,Often,Sometimes,Often,Often,Often,Often,Often,Sometimes,,Predictive modeling and analytics.,1 Most Helpful,1 Most Helpful,1 Most Helpful,1 Most Helpful,,Withing the last month,Data quality issues.  Developmental tracking implementation.,Very Satisfied,We work with Frank Smith and John Thomasson and I could not be more satisfied with the level of service I receive from the two of them with any and every issue we have.  They have been more than helpful throughout our process.,Very Likely,Very Likely,Very Likely,,Strongly Agree,"Any time we have had a service request, an acceptable, agreed upon completion date is communicated and always met.",,,Creating a software knowledge-base,Providing online software demos,Other (please specify),I would like to see a more comprehensive User's Manual/Guide of some sort.,Yes,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,,Very Likely,The level of service and functionality of the product. The capacity that it has brought to our office and institution is invaluable.,,,,,
2803391685,44341820,9/10/2013 14:09,9/10/2013 14:09,213.135.28.212,Julie.Johnson@email.com,Julie,Johnson,,Test9,One or more times per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799144298,44341820,9/7/2013 2:41,9/7/2013 2:44,213.135.28.213,Linda.Leiva@email.com,Linda,Leiva,,data2,One or more times per week,Rarely,Rarely,Often,Often,Often,Often,Sometimes,Sometimes,,,,,2,,,Between 2-6 months ago,,Very Satisfied,,Very Likely,Very Likely,Very Likely,,Agree,,,,,,,,No,,,,,,,Very Likely,,,,,,
2797018678,44341820,9/5/2013 20:55,9/5/2013 20:58,213.135.28.214,Raleigh.Muller@email.com,Raleigh,Muller,,Test10,One or more times per week,Sometimes,Sometimes,Rarely,Sometimes,Often,Rarely,Sometimes,Never,,,1 Most Helpful,2,1 Most Helpful,1 Most Helpful,,Never,,,,,,,,,,,,,,,,Yes,Agree,Neither Agree nor Disagree,Agree,,Agree,,Likely,,,,,,
2792996966,44341820,9/3/2013 18:20,9/3/2013 19:43,213.135.28.215,Justin.Scott@email.com,Justin,Scott,,Test11,One or more times per day,Often,Sometimes,Often,Often,Sometimes,Often,NA,Often,,"Enter and monitor tutoring contacts, analyze tutoring versus score/grade data.",1 Most Helpful,2,1 Most Helpful,1 Most Helpful,,Between 2-6 months ago,To include tutors' interface for data input; give access to other PSAs in the Tutoring Center of Cedar Valley company.,Very Satisfied,I have not had the needed response for us to begin tutoring data input. I am yet to know if  is now configured to accept tutoring contacts/tutoring schedule data,Very Likely,Very Likely,Very Likely,,Agree,I get the response within a reasonable time frame.,Sending confirmation that your email or question has been received and will be reviewed,Offering more methods of contacting support personnel,,Providing online software demos,,,Yes,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,,Very Likely,The user has control over the data use and queries.,,,,,
2792342096,44341820,9/3/2013 14:13,9/3/2013 14:36,213.135.28.216,Sandra.English@email.com,Sandra,English,,Test12,One or more times per week,Never,Never,Sometimes,Sometimes,Often,Sometimes,Never,Sometimes,,,3,1 Most Helpful,2,3,,Never,,,,,,,,,,,,,,,,Yes,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,"Frank Smith came to our campus to provide training in Enterprise and Lookup for our Person Services personnel.  It was a refresher for me, and very helpful.  Specific scenarios from our data needs were used in discussing and using Enterprise and Lookup.",Very Likely, is a great tool to quickly filter the Person database to determine Person course-taking behavior.,,,,,
2792207708,44341820,9/3/2013 13:04,9/3/2013 13:08,213.135.28.217,Mary.Cave@email.com,Mary,Cave,,data3,One or more times per day,Often,Often,Sometimes,Sometimes,Often,Rarely,Rarely,Sometimes,,,1 Most Helpful,1 Most Helpful,1 Most Helpful,1 Most Helpful,,Within the last week,,Very Satisfied,,Very Likely,Very Likely,Very Likely,,Strongly Agree,,,,,Providing online software demos,,,Yes,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,,Very Likely,,,,,,
2792196944,44341820,9/3/2013 12:57,9/3/2013 13:49,213.135.28.218,Valerie.Epps@email.com,Valerie,Epps,,Test13,One or more times per week,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,,,2,1 Most Helpful,2,2,,Withing the last month,We had a data mismatch.,Very Satisfied,,Very Likely,Very Likely,Very Likely,,Strongly Agree,,,,Creating a software knowledge-base,,,,Yes,Agree,Agree,Agree,,Agree,,Likely,,,,,,
2789646568,44341820,8/31/2013 21:58,8/31/2013 22:17,213.135.28.219,Connie.Harry@email.com,Connie,Harry,,Test14,One or more times per day,Rarely,Rarely,Sometimes,Often,Often,Often,NA,Often,"To identify newly enrolled Persons and send email; Person success, time to completion of remediation.",,,,,,"The lack of individuals using the software is a pJohnlem at our end, not yours:  licenses haven't been re-distributed to the appropriate users since we first purchased the software",Between 2-6 months ago,Saw a discrepancy in  data and mainframe data - John worked with us to identify that  need access to a different mainframe (PSA) file.,Somewhat Dissatisfied,"Frank Mnoynn and John Riverton have spent much time providing training opportunities, lwith large and small groups, on site and on the phone.",Very Likely,Very Likely,Very Likely,Frank and John are great.,Strongly Agree," has been incredibly helpful, especially considering that it's taking my institution a long time to fully implement .",,,Creating a software knowledge-base,,,,Yes,Agree,Agree,Strongly Agree,There's always more to learn.,Agree,,Very Likely,Absolutely great product.,"Great customer support and a great product.  I worry that you'll be swamped by your success, though.  Am including my name and contact info below, but doubt that I have a story to share that you don't already know.",,,,
2788708156,44341820,8/30/2013 20:24,8/30/2013 20:27,213.135.28.220,Richard.Rasch@email.com,Richard,Rasch,,Test15,One or more times per day,Never,Never,Sometimes,Sometimes,Often,Never,Sometimes,Sometimes,,,2,1 Most Helpful,1 Most Helpful,2,,Within the last week,,Very Satisfied,,Very Likely,Very Likely,Very Likely,,Strongly Disagree,,,,Creating a software knowledge-base,Providing online software demos,,,No,,,,,,,Very Likely,,,,,,
2788708119,44341820,8/30/2013 20:24,8/30/2013 20:25,213.135.28.221,Silvia.Sandoval@email.com,Silvia,Sandoval,,data4,One or more times per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788707450,44341820,8/30/2013 20:24,8/30/2013 20:41,213.135.28.222,Tammy.Hernandez@email.com,Tammy,Hernandez,,Test16,One or more times per week,Never,Never,Sometimes,Sometimes,Often,Never,Rarely,Rarely,,,1 Most Helpful,1 Most Helpful,1 Most Helpful,3,,Withing the last month,Support if the ETL process does not complet properly,Very Satisfied,,Very Likely,Very Likely,Very Likely,,Strongly Agree,,,,,Providing online software demos,,,Yes,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,,Very Likely,Great product - good customer support   is always looking to integrate with other systems and improve their product and the customer experience using the product.,,,,,
2788700477,44341820,8/30/2013 20:19,8/30/2013 20:25,213.135.28.223,Johnert.Jackson@email.com,Johnert,Jackson,,Test17,One or more times per day,NA,NA,Often,Often,Often,Often,Often,Often,,,1 Most Helpful,2,2,3,,Within the last week,,Somewhat Satisfied,,Neither Likely nor Unlikely,Likely,Likely,,Disagree,,,,Creating a software knowledge-base,,,,Yes,Neither Agree nor Disagree,Agree,Agree,"the training was pretty useful, just  not specific to my how individual institution structured the reporting platform",Agree,,Likely,It's a great tool with flexibility allowing for customization,Their product and services such as development and training could be a bit more developed.,,,,
2788694531,44341820,8/30/2013 20:15,8/30/2013 20:15,213.135.28.224,Ada.Hathcock@email.com,Ada,Hathcock,,Test18,I do not use the  software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788693166,44341820,8/30/2013 20:14,8/30/2013 22:51,213.135.28.225,Alfredo.Rynn@email.com,Alfredo,Rynn,,data5,One or more times per week,NA,NA,Often,Sometimes,Often,Rarely,Rarely,Sometimes,I use the warnings to help audit data.,"I would like to use  to analyze Person billing or accounting information, to help with program revenue reports.",4 Least Helpful,3,1 Most Helpful,2,,Within the last week,We meet with our support representative regularly to customize tables and rules.,Very Satisfied,"John Smith, and John Doe before him, have been invaluable in helping us tailor  to better meet our needs.",Very Likely,Very Likely,Very Likely,,Strongly Agree,Rarely have we had to wait an appreciable amount of time to have a pJohnlem solved.,,,,Providing online software demos,,,Yes,Agree,Agree,Agree,,Neither Agree nor Disagree,,,,,,,,
2786681176,44341820,8/29/2013 17:06,8/29/2013 17:31,213.135.28.226,Catherine.Spain@email.com,Catherine,Spain,,Test19,One or more times per week,Never,Never,Sometimes,Often,Often,Sometimes,Never,Rarely,Too many to mention,The cumulative outcomes report is still clunky. The completion point report doesn't allow for time period specification. The criteria in Person Lookup is not editable (edit the characteristics without having to start over).,3,4 Least Helpful,2,1 Most Helpful,Not charge for more licenses.,Within the last week,I receive regular support and training.,Very Satisfied,,Likely,Likely,Likely,I do not use a generic customer support contact. I always use my school's assigned person. We have an excellent ongoing relationship. We understand each other.,Neither Agree nor Disagree,Some of our requests for customizations have not been fulfilled in a timely manner. Other things have taken precedence.,,,,,,,Yes,Agree,Agree,Agree,My twice monthly sessions with our person are invaluable to learning about the product .,N/A,I do not attend generic training sessions. My training is personalized and one-on-one.,Likely,"Implementation is extremely pJohnlematic for companys that do not have integrated IR and IT departments. IR staff don't usually have the IT knowledge required to implement the product and IT staff don't have the IR knowledge needed to do so. (By the way, this is true of many of your own IT folks -- they have no understanding of IR work. If they did, they wouldn't do some of the things they do.) Thus, I would caution companys on any recommendation about the length of time effective implementation and customization takes and the resources necessary to do it well.","Please STOP changing the product without notification. Yes, I know we can go to the support page to see what was done, but this is written in technical laMnoage that is not user friendly to know what it means. A simple email would help. And STOP with the changes your technical people think are necessary. They aren't the ones USING the product!!! The new templates page, for example, is HORRIBLE!! The Lookup templates used to be nicely separated from the cube templates. Now they are all mixed together and selecting the correct one requires looking VERY closely at either the icon or the name. Technical folks are NOT the ones to be making design changes to the UI. They just don't think the same way or approach the product the way actual users do.",,,,
